"sector_de_actividad_económica","anio","vab_pb","provincia"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2008","720921017.22276","CABA"
"Reciclamiento","2008","12581360.04759","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2008","320737190.86736","CABA"
"Generación captación y distribución de energía eléctrica","2008","1129939224.68531","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2008","250477359.67387","CABA"
"Captación , depuración y distribución de agua","2008","439159646.54170","CABA"
"Construcción","2008","4484172868.59140","CABA"
"Comercio mayorista, minorista y reparaciones","2008","17956688600.96811","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2008","672801203.03979","CABA"
"Restaurantes, bares y cantinas","2008","2614008956.35635","CABA"
"Transporte","2008","5437590202.60459","CABA"
"Comunicaciones","2008","8077932719.07007","CABA"
"Intermediación financiera y otros servicios financieros","2008","9490472644.20276","CABA"
"Servicios de seguros","2008","2433834096.67210","CABA"
"Servicios auxiliares a la actividad financiera","2008","1147364724.99087","CABA"
"Propiedad de la vivienda","2008","5329050656.36162","CABA"
"Resto","2008","17931530866.40219","CABA"
"Administración pública y defensa; Planes de seguridad social de afiliación obligatoria","2008","5464785832.64867","CABA"
"Enseñanza pública","2008","1591700151.69523","CABA"
"Enseñanza privada","2008","1553130445.81053","CABA"
"Salud pública","2008","1077975961.19536","CABA"
"Salud privada","2008","3821233807.97603","CABA"
"Eliminación de desperdicios y aguas residuales, saneamiento y servicios similares","2008","666719972.14289","CABA"
"Asociaciones","2008","2074585450.78768","CABA"
"Servicios culturales y deportivos. Otras actividades","2008","3404693067.58646","CABA"
"Servicio doméstico","2008","1141150787.91560","CABA"
"Agricultura, ganaderia, caza y servicios conexos","2009","137595265.24097","CABA"
"Silvicultura, extracción de madera y servicios conexos","2009","191218.46784","CABA"
"Pesca","2009","32035672.42924","CABA"
"Extracción de carbón y lignito; extracción de turba. Extracción de petróleo crudo y gas natural; actividades de servicios relacionadas con la extracción de petróleo y gas, excepto las actividades de prospección.","2009","708546076.51168","CABA"
"Extracción de minerales metalíferos. Explotación de  minas y canteras n.c.p.","2009","149829370.36411","CABA"
"Elaboración de productos alimenticios y bebidas","2009","2866680781.75549","CABA"
"Elaboración de productos de tabaco","2009","64857151.25592","CABA"
"Fabricación de productos textiles","2009","658313998.95021","CABA"
"Fabricación de prendas de vestir; terminación y teñido de pieles","2009","1458611483.67232","CABA"
"Curtido y terminación de cueros; fabricación de artículos de marroquinería, talabartería y calzado y de sus partes","2009","545728050.76573","CABA"
"Producción de madera y fabricación de productos de madera y corcho, excepto muebles; fabricación de artículos de paja y de materiales trenzables","2009","131859537.29437","CABA"
"Fabricación de papel y de  productos de papel","2009","444532058.71098","CABA"
"Edición e impresión; reproducción de grabaciones","2009","2334056003.13443","CABA"
"Fabricación de coque, productos de la refinación del petróleo y combustible nuclear","2009","519530398.71713","CABA"
"Fabricación de sustancias y productos químicos","2009","3209454035.49244","CABA"
"Fabricación de productos de caucho y plástico","2009","440453366.82643","CABA"
"Fabricación de productos minerales no metálicos","2009","268409043.74054","CABA"
"Fabricación de metales comunes","2009","416007947.06810","CABA"
"Fabricación de productos elaborados de metal, excepto maquinaria y equipo","2009","559400670.49302","CABA"
"Fabricación de maquinaria y equipo n.c.p.","2009","796455344.10069","CABA"
"Fabricación de maquinaria de oficina, contabilidad e informática","2009","282029370.40115","CABA"
"Fabricación de maquinaria y aparatos eléctricos  n.c.p.","2009","284279816.67651","CABA"
"Fabricación de equipos y aparatos de radio, televisión y comunicaciones","2009","106036287.44284","CABA"
"Fabricación de instrumentos médicos, ópticos y de precisión; fabricación de relojes","2009","216265158.07032","CABA"
"Fabricación de vehículos automotores, remolques y semirremolques","2009","326980844.02289","CABA"
"Fabricación de equipo de transporte n.c.p.","2009","67797586.42550","CABA"
"Fabricación de muebles y colchones; industrias manufactureras n.c.p.","2009","632029203.72927","CABA"
"Reciclamiento","2009","10585782.33713","CABA"
"Reparación, mantenimiento e instalación de maquinas y equipos","2009","278488381.66121","CABA"
"Generación captación y distribución de energía eléctrica","2009","1247131975.02548","CABA"
"Fabricación de gas ; distribución de combustibles gaseosos por tuberías","2009","256387897.58602","CABA"
"Captación , depuración y distribución de agua","2009","452321097.62755","CABA"
"Construcción","2009","3863785427.86594","CABA"
"Comercio mayorista, minorista y reparaciones","2009","16568905411.33245","CABA"
"Hoteles; campamentos y otros tipos de hospedaje temporal","2009","559979255.50475","CABA"
"Restaurantes, bares y cantinas","2009","2529002682.26671","CABA"
"Transporte","2009","5060363776.85756","CABA"
"Comunicaciones","2009","8323362142.11899","CABA"
"Intermediación financiera y otros servicios financieros","2009","9415284432.69631","CABA"
"Servicios de seguros","2009","2557272513.64741","CABA"
"Servicios auxiliares a la actividad financiera","2009","1121154804.73869","CABA"
"Propiedad de la vivienda","2009","5425529359.31259","CABA"
"Resto","2009","16894258627.14151","CABA"
